Heap ;operation: 2
poèet prvkov;èas[ms]
100;27
200;27
300;27
400;27
500;26
600;26
700;27
800;27
900;27
1000;27
1100;32
1200;26
1300;28
1400;27
1500;32
1600;27
1700;27
1800;27
1900;27
2000;28
2100;26
2200;32
2300;27
2400;27
2500;27
2600;26
2700;27
2800;27
2900;28
3000;27
3100;28
3200;27
3300;27
3400;27
3500;26
3600;27
3700;35
3800;30
3900;27
4000;26
4100;26
4200;26
4300;29
4400;27
4500;28
4600;27
4700;26
4800;26
4900;27
5000;32
5100;26
5200;26
5300;27
5400;27
5500;27
5600;28
5700;48
5800;28
5900;32
6000;27
6100;27
6200;26
6300;27
6400;32
6500;27
6600;27
6700;27
6800;28
6900;27
7000;27
7100;27
7200;28
7300;28
7400;26
7500;26
7600;26
7700;27
7800;27
7900;28
8000;31
8100;26
8200;27
8300;27
8400;28
8500;27
8600;28
8700;26
8800;26
8900;26
9000;27
9100;28
9200;26
9300;26
9400;26
9500;26
9600;28
9700;27
9800;27
9900;27
10000;27
----------------------------------
----------------------------------
Priemerný èas pop: ;27;mikrosekúnd
Celkový èas: ;2758
